,Recipe ID,Ingredient ID
0,1,15
1,1,3051
2,1,1584
3,1,1082
4,1,3715
5,1,3822
6,1,3686
7,2,1082
8,2,3822
9,2,3715
10,2,15
11,2,3051
12,2,1584
13,2,2840
14,2,3686
15,3,2849
16,3,3822
17,3,3745
18,3,1188
19,3,3750
20,3,1731
21,3,3051
22,3,3770
23,3,428
24,3,490
25,4,1082
26,4,3822
27,4,3715
28,4,3686
29,4,3108
30,4,2480
31,4,15
32,4,3051
33,4,1584
34,4,1600
35,5,3822
36,5,2788
37,5,3715
38,5,3750
39,5,1082
40,5,15
41,5,1584
42,5,1600
43,5,3051
44,5,2359
45,6,3745
46,6,499
47,6,1082
48,6,15
49,6,2231
50,6,3822
51,6,3051
52,6,490
53,6,3822
54,6,1584
55,6,721
56,6,490
57,7,2826
58,7,15
59,7,3822
60,7,3051
61,7,2335
62,7,1071
63,7,3715
64,7,313
65,8,15
66,8,3051
67,8,3664
68,8,499
69,8,1071
70,8,21
71,8,3108
72,9,15
73,9,3715
74,9,3051
75,9,3822
76,9,3745
77,10,3745
78,10,3822
79,10,2447
80,10,3051
81,10,1442
82,10,2458
83,10,428
84,11,3745
85,11,3822
86,11,3051
87,11,3715
88,11,428
89,12,3750
90,12,3051
91,12,428
92,12,1035
93,12,3822
94,12,2655
95,12,2577
96,12,490
97,13,3745
98,13,15
99,13,3051
100,13,3715
101,13,3822
102,14,15
103,14,1584
104,14,3051
105,14,3822
106,14,1082
107,14,3715
108,14,2220
109,14,2087
110,14,2840
111,15,953
112,15,318
113,15,3822
114,15,2231
115,15,1082
116,15,3051
117,15,15
118,15,3686
119,16,15
120,16,3822
121,16,3051
122,16,3715
123,16,1071
124,16,2335
125,16,1239
126,16,3822
127,16,15
128,16,490
129,16,1584
130,17,1082
131,17,3822
132,17,3715
133,17,2335
134,17,3051
135,17,2688
136,17,3686
137,17,21
138,17,15
139,17,3822
140,17,2472
141,17,3686
142,17,21
143,17,490
144,18,15
145,18,2231
146,18,579
147,18,3051
148,18,3750
149,19,15
150,19,3822
151,19,3051
152,19,2231
153,19,2335
154,20,1082
155,20,3715
156,20,3822
157,20,3686
158,20,15
159,20,3051
160,20,1584
161,20,1600
162,21,3770
163,21,3822
164,21,3051
165,21,3771
166,21,1041
167,21,3290
168,21,3750
169,22,872
170,22,2231
171,22,3822
172,22,1082
173,22,15
174,22,3051
175,22,1584
176,22,1587
177,23,2335
178,23,3822
179,23,3745
180,23,15
181,23,3051
182,24,2578
183,24,3822
184,24,3715
185,24,1082
186,24,1584
187,24,1600
188,24,3051
189,24,3750
190,24,15
191,25,1082
192,25,3822
193,25,3686
194,25,3715
195,25,15
196,25,3051
197,25,1584
198,26,2706
199,26,2455
200,26,1082
201,26,501
202,26,876
203,26,3290
204,26,3715
205,26,2335
206,27,3822
207,27,3750
208,27,2335
209,27,2231
210,27,428
211,27,3051
212,28,3822
213,28,1584
214,28,490
215,28,3822
216,28,1082
217,28,3290
218,28,3686
219,28,1584
220,28,3051
221,28,15
222,29,15
223,29,3051
